"GENCOD";"CODCLA";"LIBCLA";"CODFAM";"LIBFAM";"CODTYPPDT";"LIBTYPPDT"
"3526353057463";"TERHD";"TERMINAUX HAUT DEBIT";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353057760";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353057791";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353057807";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353057814";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353057821";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353057937";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353057951";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353058781";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353058859";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353058866";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353058873";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353058880";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353058897";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353055094";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353055278";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353055292";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353055315";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353055346";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353055490";"TERIM";"TERMINAUX IMODE";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353055513";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353056138";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353056145";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353056152";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353056169";"TERIM";"TERMINAUX IMODE";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353056176";"TERIM";"TERMINAUX IMODE";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353056183";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353051652";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353051669";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353051676";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353052390";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353052529";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353052673";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353052857";"TERIM";"TERMINAUX IMODE";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353052864";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353053304";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353053342";"TERIM";"TERMINAUX IMODE";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353053397";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353053489";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353053502";"TERHD";"TERMINAUX HAUT DEBIT";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353053557";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353053731";"TERIM";"TERMINAUX IMODE";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353054134";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353054158";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353054363";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353054424";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353054431";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353054530";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353054547";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353054585";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353049918";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353049949";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353050259";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353050839";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353050891";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353050907";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353050952";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353051102";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353051126";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353051140";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353051638";"TERIM";"TERMINAUX IMODE";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353051645";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353046573";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353046597";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353046610";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353046627";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353046887";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353046900";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
